Month Name,Month,Year,Query Count,Query Text,Month Num,,,,,,,,,,,
September,9,2019,"5,610",test,9,35000,,,,,,35001 Rows. 5 columns,,,,
September,9,2019,"5,327",directory,9,34999,,,,,,Max queries,5610,,,
January,1,2019,"2,646",Nashville,1,34998,,,,,,Year is number,TRUE,,,
October,,2018,816,annual enrollment,8,34997,,,,,,Query Counnt is number,TRUE,,,
September,,2018,750,annual enrollment,9,34996,,,,,,,Count,Sum,Average,Max
September,,2017,704,annual enrollment,9,34995,,,,,,Map searches,124,11279,90.95967742,351
October,10,2019,692,directory,8,34994,,,,,,,,,,
October,,2017,648,annual enrollment,8,34993,,,,,,,,,,
January,1,2020,577,nashvillecumberlands.gov@gmail.com,1,34992,,,,,,Month Name,Monthe Num,,,
October,10,2019,548,test,8,34991,,,,,,January,1,,,
September,,2016,408,annual enrollment,9,34990,,,,,,February,2,,,
January,1,2020,358,payroll,1,34989,,,,,,March,3,,,
September,9,2019,357,Ess,9,34988,,,,,,April,4,,,
April,,2017,351,maps,#N/A,34987,,,,,,May,5,,,
April,,2018,345,sheriff,#N/A,34986,,,,,,June,6,,,
October,,2018,337,human resources,8,34985,,,,,,July,7,,,
October,,2015,336,annual enrollment,8,34983.5,,,,,,August,8,,,
April,,2017,336,property taxes,#N/A,34983.5,,,,,,September,9,,,
October,,2017,334,human resources,8,34982,,,,,,October,10,,,
March,,2017,331,maps,8,34981,,,,,,November,11,,,
May,,2017,330,accident report,8,34980,,,,,,December,12,,,
February,,2017,324,property taxes,#N/A,34979,,,,,,,,,,
September,,2015,320,annual enrollment,9,34977.5,,,,,,,,,,
September,,2017,320,human resources,9,34977.5,,,,,,,,,,
June,,2017,317,human resources,6,34976,,,,,,,,,,
August,,2017,312,human resources,#N/A,34975,,,,,,,,,,
April,,2017,305,property tax,#N/A,34974,,,,,,,,,,
February,,2014,298,ebid,#N/A,34972.5,,,,,,,,,,
March,,2017,298,naza,,34972.5,,,,,,,,,,
May,,2018,296,sheriff,,34971,,,,,,,,,,
April,,2016,293,Districts,,34970,,,,,,,,,,
July,,2017,285,human resources,,34969,,,,,,,,,,
May,,2018,284,human resources,,34968,,,,,,,,,,
September,,2018,282,human resources,,34967,,,,,,,,,,
November,,2016,279,civil service meeting minutes,,34965.5,,,,,,,,,,
December,12,2019,279,Payroll,,34965.5,,,,,,,,,,
September,,2017,278,accident report,,34964,,,,,,,,,,
November,11,2019,275,Payroll,,34963,,,,,,,,,,
July,,2018,274,human resources,,34962,,,,,,,,,,
October,,2018,273,early voting,,34961,,,,,,,,,,
March,,2014,270,ebid,,34959.5,,,,,,,,,,
January,,2018,270,human resources,,34959.5,,,,,,,,,,
May,,2017,269,codes,,34958,,,,,,,,,,
June,,2018,268,human resources,,34957,,,,,,,,,,
March,,2018,267,human resources,,34956,,,,,,,,,,
May,,2017,266,maps,,34955,,,,,,,,,,
June,,2017,265,maps,,34954,,,,,,,,,,
January,,2018,264,employee self service,,34953,,,,,,,,,,
