Month Name,Month,Year,Query Count,Query Text,,,,,,,,,
January,,2014,"5,610",ebid,,,,,,,,"35001 Rows, 5 Columns",
January,,2014,"5,327",property maps,,,,,,,,Max queries,5610
January,,2014,"2,646",maps,,,,,,,,Year is number,1
January,,2014,816,property tax,,,,,,,,,
January,,2014,750,jobs,,,,,,,,,
January,,2014,704,employment,,,Year,Query Count,Query Text,,,,
January,,2014,692,human resources,,,2014,"5,610",ebid,,,,
January,,2014,648,police,,,2014,"5,327",property maps,,,,
January,,2014,577,criminal court clerk,,,2014,"2,646",maps,,,,
January,,2014,548,media releases,,,2014,816,property tax,,,,
January,,2014,408,property taxes,,,2014,750,jobs,,,,
January,,2014,358,gis,,,,,,,,,
January,,2014,357,animal control,,,,,,,,,
January,,2014,351,traffic signal optimization study,,,,,,,,,
January,,2014,345,arrest records,,,,,,,,,
January,,2014,337,property assessor,,,,,,,,,
January,,2014,336,ess,,,,,,,,,
January,,2014,336,water,,,,,,,,,
January,,2014,334,zoning,,,,,,,,,
January,,2014,331,codes,,,,,,,,,
January,,2014,330,criminal court,,,,,,,,,
January,,2014,324,inside metro,,,,,,,,,
January,,2014,320,parking,,,,,,,,,
January,,2014,320,employee self service,,,,,,,,,
January,,2014,317,library,,,,,,,,,
January,,2014,312,bidding,,,,,,,,,
January,,2014,305,accident report,,,,,,,,,
January,,2014,298,planning,,,,,,,,,
January,,2014,298,pump station,,,,,,,,,
January,,2014,296,payroll,,,,,,,,,
January,,2014,293,google,,,,,,,,,
January,,2014,285,property,,,,,,,,,
January,,2014,284,register of deeds,,,,,,,,,
January,,2014,282,news media,,,,,,,,,
January,,2014,279,traffic management study,,,,,,,,,
January,,2014,279,business license,,,,,,,,,
January,,2014,278,warrants,,,,,,,,,
January,,2014,275,permits,,,,,,,,,
January,,2014,274,civil service rules,,,,,,,,,
January,,2014,273,inmate search,,,,,,,,,
January,,2014,270,civil service,,,,,,,,,
January,,2014,270,media release,,,,,,,,,
January,,2014,269,careers,,,,,,,,,
January,,2014,268,arrests,,,,,,,,,
January,,2014,267,police department,,,,,,,,,
January,,2014,266,associated bond,,,,,,,,,
January,,2014,265,procurement,,,,,,,,,
January,,2014,264,employment opportunities,,,,,,,,,
January,,2014,256,public works,,,,,,,,,
January,,2014,255,mugshots,,,,,,,,,
January,,2014,255,auction,,,,,,,,,
January,,2014,254,im,,,,,,,,,
January,,2014,252,traffic school,,,,,,,,,
January,,2014,251,sulphur dell,,,,,,,,,
January,,2014,250,web pro,,,,,,,,,
January,,2014,250,forms,,,,,,,,,
January,,2014,247,property records,,,,,,,,,
January,,2014,246,health department,,,,,,,,,
January,,2014,246,Obstructions in the street,,,,,,,,,
January,,2014,245,Ebid,,,,,,,,,
January,,2014,245,public records,,,,,,,,,
January,,2014,244,kiva,,,,,,,,,
January,,2014,243,building permits,,,,,,,,,
January,,2014,242,tax assessor,,,,,,,,,
January,,2014,241,Media releases,,,,,,,,,
January,,2014,240,leash law,,,,,,,,,
January,,2014,240,housing,,,,,,,,,
January,,2014,239,rfp,,,,,,,,,
January,,2014,239,Jobs,,,,,,,,,
January,,2014,239,booking,,,,,,,,,
January,,2014,238,stormwater,,,,,,,,,
January,,2014,238,courts,,,,,,,,,
January,,2014,238,iprocurement,,,,,,,,,
January,,2014,237,assessor,,,,,,,,,
January,,2014,236,Police,,,,,,,,,
January,,2014,235,birth certificate,,,,,,,,,
January,,2014,235,police reports,,,,,,,,,
January,,2014,235,metro action commission,,,,,,,,,
January,,2014,234,recycling,,,,,,,,,
January,,2014,234,metro water,,,,,,,,,
January,,2014,231,metro pay plan,,,,,,,,,
January,,2014,230,its,,,,,,,,,
January,,2014,229,community education,,,,,,,,,
January,,2014,227,holidays,,,,,,,,,
January,,2014,227,popular restaurants,,,,,,,,,
January,,2014,226,backflow,,,,,,,,,
January,,2014,225,marriage license,,,,,,,,,
January,,2014,225,job openings,,,,,,,,,
January,,2014,225,police report,,,,,,,,,
January,,2014,224,fiber optic design,,,,,,,,,
January,,2014,224,trustee,,,,,,,,,
January,,2014,223,increment,,,,,,,,,
January,,2014,223,cemetery,,,,,,,,,
January,,2014,223,bids,,,,,,,,,
January,,2014,222,pedestrian bridges,,,,,,,,,
January,,2014,222,zoning map,,,,,,,,,
January,,2014,221,email,,,,,,,,,
January,,2014,219,Property taxes,,,,,,,,,
January,,2014,219,budget,,,,,,,,,
January,,2014,217,traffic,,,,,,,,,
January,,2014,217,criminal report,,,,,,,,,
January,,2014,215,development tracker,,,,,,,,,
January,,2014,215,traffic incident,,,,,,,,,
January,,2014,213,directory,,,,,,,,,
January,,2014,213,8.12.020,,,,,,,,,
January,,2014,212,assessor of property,,,,,,,,,
January,,2014,211,Ice skating,,,,,,,,,
January,,2014,209,utility work,,,,,,,,,
January,,2014,207,parks,,,,,,,,,
January,,2014,206,internet crimes against children,,,,,,,,,
January,,2014,206,purchasing,,,,,,,,,
January,,2014,205,metro maps,,,,,,,,,
January,,2014,204,Animal control,,,,,,,,,
January,,2014,204,pay plan,,,,,,,,,
January,,2014,204,ben west library,,,,,,,,,
January,,2014,204,mugshot,,,,,,,,,
January,,2014,203,arrest,,,,,,,,,
January,,2014,203,accident reports,,,,,,,,,
January,,2014,202,water services,,,,,,,,,
January,,2014,201,Property tax,,,,,,,,,
January,,2014,201,Steve Anderson,,,,,,,,,
January,,2014,201,planning department,,,,,,,,,
January,,2014,200,pay scale,,,,,,,,,
January,,2014,199,benefits,,,,,,,,,
January,,2014,199,impound auction,,,,,,,,,
January,,2014,199,food stamps,,,,,,,,,
January,,2014,198,bond reductions,,,,,,,,,
January,,2014,197,e bid,,,,,,,,,
January,,2014,196,Maps,,,,,,,,,
January,,2014,196,downtown code,,,,,,,,,
January,,2014,195,Metro electrical license,,,,,,,,,
January,,2014,195,metro contracts,,,,,,,,,
January,,2014,195,ess.nashville.gov,,,,,,,,,
January,,2014,194,metro action,,,,,,,,,
January,,2014,194,standby note purchase agreement,,,,,,,,,
January,,2014,194,court forms,,,,,,,,,
January,,2014,194,county clerk,,,,,,,,,
January,,2014,194,Douglas head start,,,,,,,,,
January,,2014,193,sheriff department,,,,,,,,,
January,,2014,192,finance,,,,,,,,,
January,,2014,192,hr,,,,,,,,,
January,,2014,192,sulpher dell,,,,,,,,,
January,,2014,192,arrest records by name,,,,,,,,,
January,,2014,191,BIO RETENTION PLANTING,,,,,,,,,
January,,2014,191,victims compensation,,,,,,,,,
January,,2014,191,criminal search,,,,,,,,,
January,,2014,190,japan,,,,,,,,,
January,,2014,190,property assessment,,,,,,,,,
January,,2014,190,ebid.nashville.gov,,,,,,,,,
January,,2014,190,fmla,,,,,,,,,
January,,2014,189,internship,,,,,,,,,
January,,2014,188,mnps,,,,,,,,,
January,,2014,188,ice skating,,,,,,,,,
January,,2014,188,nondiscrimination,,,,,,,,,
January,,2014,187,beer board,,,,,,,,,
January,,2014,187,10 most wanted,,,,,,,,,
January,,2014,187,parthenon,,,,,,,,,
January,,2014,187,court,,,,,,,,,
January,,2014,186,online applications,,,,,,,,,
January,,2014,186,animal shelter,,,,,,,,,
January,,2014,186,notary,,,,,,,,,
January,,2014,186,EBID,,,,,,,,,
January,,2014,185,okinawa japan,,,,,,,,,
January,,2014,185,car auctions,,,,,,,,,
January,,2014,185,fire department,,,,,,,,,
January,,2014,185,license renewal,,,,,,,,,
January,,2014,184,metro holidays,,,,,,,,,
January,,2014,184,BIORETENTION,,,,,,,,,
January,,2014,184,warrant,,,,,,,,,
January,,2014,183,map,,,,,,,,,
January,,2014,183,metro water services,,,,,,,,,
January,,2014,183,police media release,,,,,,,,,
January,,2014,183,homicide victims,,,,,,,,,
January,,2014,182,recent bookings,,,,,,,,,
January,,2014,182,car titles,,,,,,,,,
January,,2014,182,procurement code,,,,,,,,,
January,,2014,182,zoning code,,,,,,,,,
January,,2014,181,STAFF,,,,,,,,,
January,,2014,181,metro public schools,,,,,,,,,
January,,2014,180,employee discounts,,,,,,,,,
January,,2014,180,robert kelly,,,,,,,,,
January,,2014,180,mapping,,,,,,,,,
January,,2014,180,records,,,,,,,,,
January,,2014,179,edmondson,,,,,,,,,
January,,2014,179,sports authority,,,,,,,,,
January,,2014,178,robert william kelley,,,,,,,,,
January,,2014,178,wrecks at a specific location in Nashville,,,,,,,,,
January,,2014,178,weather,,,,,,,,,
January,,2014,177,information security,,,,,,,,,
January,,2014,177,Street solicitation,,,,,,,,,
January,,2014,177,job,,,,,,,,,
January,,2014,177,Residency ordinance,,,,,,,,,
January,,2014,176,Codes,,,,,,,,,
January,,2014,176,Parthenon,,,,,,,,,
January,,2014,175,codes administration,,,,,,,,,
January,,2014,175,mdha,,,,,,,,,
January,,2014,174,Director of electrical codes,,,,,,,,,
January,,2014,174,BL2011-75,,,,,,,,,
January,,2014,174,internships,,,,,,,,,
January,,2014,174,reconnect fees for water service,,,,,,,,,
January,,2014,174,oem,,,,,,,,,
January,,2014,174,bid,,,,,,,,,
January,,2014,174,car tags,,,,,,,,,
January,,2014,174,bond amounts,,,,,,,,,
